,START_LAT,END_LNG,START_LNG,END_LAT
76,22.559294,113.942398,113.944666,22.559239
77,22.61192926,114.1179054,114.1196554,22.61869746
78,22.54251811,114.1262166,114.1270581,22.54122937
79,22.61389851,114.0441157,114.0423775,22.61066928
80,22.58407931,114.1180499,114.1146824,22.57937342
81,22.54948856,113.9028163,113.9008679,22.55170013
82,22.55343794,114.141083,114.1470278,22.55458543
83,22.53793171,114.0918351,114.0862261,22.53695493
84,22.53514265,114.064574,114.0693097,22.51769456
85,22.58407321,114.1180438,114.1146763,22.57936732
86,22.52659035,114.0228014,114.0140457,22.52631326
87,22.51326534,113.9059512,113.9061042,22.51323177
88,22.51331064,113.9059965,113.9061495,22.51327707
89,22.724985,114.264934,114.26987,22.721276
90,22.55117703,114.0834633,114.0811282,22.55715093
91,22.55353974,114.1126921,114.1130303,22.54655467
92,22.58047789,113.9069332,113.9045555,22.57958242
93,22.510102,113.92915,113.929148,22.50745
94,22.58043289,113.9068882,113.9045105,22.57953742
95,22.61102778,114.1098984,114.117481,22.61083232
96,22.61094208,114.1098127,114.1173953,22.61074662
97,22.66432523,113.9269746,113.9976938,22.69119645
98,22.68721008,113.8120499,113.8055115,22.69085105
99,22.65571404,114.0673281,114.0679855,22.65597237
100,22.54492822,114.1152031,114.1192707,22.54199609
101,22.63508693,114.0561099,114.0621599,22.62821825
102,22.54243572,114.1184548,114.1193676,22.53484726
103,22.53210147,114.0344573,114.0518031,22.51929857
104,22.540565,114.100187,114.092903,22.538861
105,22.5810829,113.9872455,113.9562522,22.59064214
106,22.54842174,114.1117989,114.1105215,22.53497212
107,22.53464545,114.0892018,114.08259,22.53978301
108,22.51573316,114.0560985,114.0526011,22.51501388
109,22.6067389,114.0480847,114.0459897,22.61010005
110,22.59125454,114.1325507,114.1323432,22.59111807
111,22.56142841,113.9012424,113.9060529,22.56257814
112,22.53793144,114.1307418,114.1233722,22.53980721
113,22.55787776,114.1408141,114.1421979,22.56404519
114,22.53314238,114.127762,114.1117341,22.54695143
115,22.53311978,114.1277394,114.1117115,22.54692883
116,22.559074,113.955893,113.948862,22.558574
117,22.66019206,114.066365,114.0632379,22.65736062
118,22.76068113,113.8391245,113.8376269,22.75142073
119,22.53356215,113.9393085,113.9387597,22.53307366
120,22.489283,113.922719,113.920875,22.487841
121,22.54249077,114.1392612,114.1252691,22.56253497
122,22.77226274,113.9093333,113.9098268,22.77473692
123,22.53229969,114.0785614,114.08363,22.53293695
124,22.6059041,114.1444234,114.1534015,22.60956283
125,22.62966236,113.8304024,113.835255,22.63489979
126,22.54745485,114.1046574,114.096337,22.55180097
127,22.70385308,113.8163296,113.818211,22.71449866
128,22.60383224,113.8387653,113.8351822,22.60075842
129,22.527028,113.919211,113.926486,22.52591
